,x,y,z,CLUSTERS_DBSCAN_2d,CLUSTERS_DBSCAN_3d
0,183.217896,87.184867,33.978806,0,0
1,185.318705,84.291655,34.752898,0,-1
2,183.937586,85.290537,34.8804,0,-1
3,184.985221,87.444619,32.622806,0,0
4,180.274859,94.06671,31.006901,0,1
5,182.806496,92.431652,30.428931,0,1
6,182.081414,94.368632,29.664119,0,1
7,178.982897,97.722048,29.672001,1,2
8,178.133394,99.199189,29.50575,1,2
9,177.761926,101.4921,28.650875,1,2
10,179.86745,99.446261,28.186999,1,2
11,176.556853,105.347353,27.794862,0,7
12,175.146235,109.160652,27.529926,0,-1
13,175.417333,106.684984,28.1588,0,-1
14,177.292764,108.00982,26.266925,0,7
15,174.308158,114.597857,26.548599,0,1
16,173.306975,118.913691,26.457863,0,1
17,173.950547,117.111099,26.294062,0,1
18,175.439534,116.11665,25.291319,0,1
19,174.721985,121.561379,24.662899,2,1
20,175.004491,123.0536,24.232312,2,-1
21,176.86008,126.136472,22.324494,3,3
22,176.358612,124.729397,22.908275,2,3
23,173.613025,125.774107,24.951138,3,3
24,172.951687,124.331543,25.740999,2,3
25,173.914702,127.2724,24.425031,3,3
26,173.910817,127.266676,24.075812,3,3
27,172.427061,129.915649,25.24,-1,-1
28,174.465447,134.364098,22.739187,4,-1
29,174.694363,135.857849,22.324906,4,-1
30,173.226538,132.771833,23.93,4,-1
31,171.902828,134.703949,24.78055,-1,-1
32,171.043337,135.930239,25.256901,-1,-1
33,176.985802,136.507301,20.718199,4,4
34,176.140584,131.860478,21.8627,3,3
35,176.693451,133.296997,21.361675,4,4
36,178.178464,135.106598,20.241762,4,4
37,181.521057,135.773005,18.1556,4,4
38,183.211449,133.390503,17.900175,9,5
39,183.800265,134.909554,17.543263,-1,5
40,185.431753,136.844918,16.556299,5,5
41,186.432496,132.610112,16.358,9,9
42,186.548135,134.146188,16.386551,5,6
43,187.413551,135.8554,15.954912,5,6
44,188.47355,137.428612,15.3043,5,1
45,190.209503,137.850952,14.686462,6,1
46,190.357714,133.746849,14.954387,11,1
47,190.425705,135.286499,14.8185,6,1
48,193.801849,136.076202,13.450075,6,1
49,193.717049,134.545952,13.597338,6,1
50,191.833697,137.065678,14.0365,6,1
51,193.095754,133.002096,13.9196,6,1
52,196.310951,137.018852,12.403662,-1,1
53,197.631348,135.718552,12.087787,7,1
54,194.655753,137.788875,12.8801,6,1
55,195.918513,133.73698,12.78455,6,1
